profile_id,count,average_effect_size,band,ai_feasibility,human_irreducibility,substitution_risk,mechanism_conflict,vendor_activity,influences
P01,38,0.27,Below hinge,AI-ADJACENT,Low,Low,No conflict,Low,Drama/arts programs; Music programs; Bilingual programs; Student-centered teaching; Attitude to content domains; Chess instruction; Motivation/character programs; Stereotype threat; ADHD – treatment with drugs; Adjunct aids; External accountability systems; Matching style of learning; Manipulative materials on math; Ability grouping for gifted students; Teaching test taking and coaching; Desegregation; Pre-school programs; Whole-school improvement programs; Mainstreaming/inclusion; Student personality attributes; Exercise/relaxation; Lack of illness; Out-of-school curricula experiences; Adopted vs non-adopted care; Religious schools; Competitive vs. individualistic learning; Visual/audio-visual methods; Finances; Reducing class size; Student support programs – college; Extra-curricula programs; Engaged vs disengaged fathers; Aptitude/treatment interactions; Learning hierarchies-based approach; Co- or team teaching; Within class grouping; Lack of stress; Sentence combining programs
P02,22,0.08,Negligible,AI-ADJACENT,Low,Low,No conflict,Low,Morning vs. evening; Positive ethnic self-identity; Juvenile delinquent programs; School choice programs; Tracking/streaming; Different types of testing; Diverse student body; Background music; Diversity courses; Charter schools; Modifying school calendars/timetables; Detracking; Gender on achievement; Perceptual-motor programs; Single-sex schools; Middle schools' interventions; Whole language approach; College halls of residence; Breastfeeding; Multi-grade/age classes; Humor; Non-immigrant background
P03,21,0.50,Above hinge,AI-AUGMENTED,Medium,Low,No conflict,Low,Field independence; Acceleration programs; Relations of high school to university achievement; Spaced vs. mass practice; Concentration/persistence/engagement; Visual-perception programs; Second/third chance programs; Enrichment programs; Record keeping; Student rating of quality of teaching; Time on task; Comprehension programs; Integrated curricula programs; Perceived task value; Achieving motivation and approach; Early years' interventions; Teaching communication skills and strategies; Motivation; Reducing anxiety; Positive self-concept; Relating creativity to achievement
P04,11,0.50,Above hinge,AI-AUGMENTED,Medium,Low,Partial conflict,Low,Outlining and transforming; Creativity programs; Setting standards for self-judgement; Appropriately challenging goals; Clear goal intentions; Imagery; Inductive teaching; Philosophy in schools; Elaborative interrogation; Goal commitment; Inquiry-based teaching
P05,9,0.25,Below hinge,AI-NATIVE,Low,High,No conflict,Low,Technology in mathematics; Technology with high school students; Online and digital tools; Technology in reading/literacy; Use of PowerPoint; Technology in science; Clickers; Web-based learning; One-on-one laptops
P06,6,0.89,High,AI-AUGMENTED,Medium,Low,Partial conflict,Low,Self-reported grades; Self-efficacy; Transfer strategies; Elaboration and organization; Evaluation and reflection; Reciprocal teaching
P07,6,0.52,Above hinge,AI-ADJACENT,Low,Low,No conflict,Low,Working memory strength; Full compared to pre-term/low birth weight; Prior achievement; Socio-economic status; Relative age within a class; School size (600-900 students at secondary)
P08,6,-0.21,Harmful,AI-ADJACENT,Low,Low,No conflict,Low,Summer vacation effect; Lack of sleep; Television; Retention (holding students back); Moving between schools; Depression
P09,5,0.54,Above hinge,AI-RESISTANT,High,High,Conflict present,Low,Tactile stimulation programs; Service learning; Positive peer influences; Positive family/home dynamics; Play programs
P10,5,0.48,Above hinge,AI-AUGMENTED,Medium,Medium,No conflict,Low,Direct instruction; Explicit teaching strategies; Behavioral organizers; Professional development programs; After-school programs
