rank,influence,effect_size,band,ai_feasibility,human_irreducibility,substitution_risk,mechanism_conflict,vendor_activity,notes
1,Collective teacher efficacy,1.57,High,AI-RESISTANT,High,High,No conflict,Low,Emergent social construct; Bandura's four efficacy channels require physical collaboration and shared professional identity.
2,Self-reported grades,1.33,High,AI-AUGMENTED,Medium,Low,Partial conflict,Low,AI dashboards can scaffold prediction and tracking; student must do the self-assessment act or mechanism hollows out.
5,Response to intervention,1.29,High,AI-AUGMENTED,Medium,Medium,No conflict,High,AI platforms can continuously monitor and flag tier transitions; targeted instruction must be physically delivered by trained humans.
7,Jigsaw method,1.20,High,AI-RESISTANT,High,High,Conflict present,Low,Physical peer-to-peer teaching exchange is the causal mechanism; AI optimizing group composition touches only logistics.
10,Strategy to integrate with prior knowledge,0.93,High,AI-AUGMENTED,Medium,Low,Partial conflict,High,AI pre-diagnostic tasks can map active schema; customized analogies require accuracy about what student actually knows.
11,Self-efficacy,0.92,High,AI-AUGMENTED,Medium,Low,Partial conflict,Low,AI adaptive micro-scaffolds can foster immediate confidence; durable self-efficacy is built through human encouragement over time.
12,Teacher credibility,0.90,High,AI-RESISTANT,High,High,Conflict present,Low,"Student perception of competence, trustworthiness, and goodwill is strictly interpersonal; AI fluency is not teacher credibility."
13,Micro-teaching/video review of lessons,0.88,High,AI-AUGMENTED,Medium,Medium,No conflict,High,"AI computer vision can map talk-time, questioning patterns, and engagement; human teacher must interpret and adjust practice."
14,Transfer strategies,0.86,High,AI-AUGMENTED,Medium,Low,Partial conflict,Low,AI generates near- and far-transfer problem sets; explicit modeling of cross-domain principles requires human instruction.
15,Classroom discussion,0.82,High,AI-AUGMENTED,High,High,Conflict present,Moderate,Socio-cognitive friction and shared community context require physical peer presence; AI can map participation patterns and flag gaps.
16,Scaffolding,0.82,High,AI-AUGMENTED,Medium,Medium,Partial conflict,High,AI tutoring platforms can adapt hint specificity and difficulty in real-time; systematic fading required to prevent permanent dependency.
17,Deliberate practice,0.79,High,AI-AUGMENTED,Medium,Medium,Partial conflict,Low,Ericsson-model deliberate practice requires expert diagnosis of specific errors; AI handles adaptive difficulty but not expert qualitative feedback.
18,Summarization,0.79,High,AI-NATIVE,Low,High,Conflict present,Low,"Critical mechanism conflict: if AI summarizes for the student, student does not build the capacity. AI must evaluate student summaries, not produce them."
22,Planning and prediction,0.76,High,AI-AUGMENTED,Medium,Low,Partial conflict,High,AI can structure prediction prompts; mechanism conflict if AI does the planning for the student rather than requiring student to plan.
25,Elaboration and organization,0.75,High,AI-AUGMENTED,Medium,Low,Partial conflict,Low,"Mechanism conflict risk: AI must force student verbal elaboration, not produce elaboration on student's behalf."
26,Evaluation and reflection,0.75,High,AI-AUGMENTED,Medium,Low,Partial conflict,Low,AI prompt systems generate self-evaluation questions; deep metacognitive internalization of error requires teacher-guided think-alouds.
27,Reciprocal teaching,0.74,High,AI-AUGMENTED,Medium,Low,Partial conflict,Low,AI avatars can model predict/clarify/question/summarize; the peer-teaching social exchange requires physical human presence.
32,Feedback,0.70,High,AI-AUGMENTED,Medium,High,Partial conflict,High,Most-cited EdTech claim. Mechanism conflict: AI feedback can enable system-gaming (clicking hints for answers). One-third of feedback studies show negative effects. Vendor claims routinely strip this caveat.
36,Learning goals vs. no goals,0.68,Above hinge,AI-AUGMENTED,Low,Low,Partial conflict,Moderate,AI onboarding engines can prompt explicit goal formulation; mechanism conflict if AI sets goals for student rather than requiring student to formulate them.
37,Problem-solving teaching,0.68,Above hinge,AI-AUGMENTED,High,Low,Partial conflict,Low,Rich problem-solving scenarios can be AI-generated; group facilitation and modeling of problem-solving heuristics requires human teacher.
38,Outlining and transforming,0.66,Above hinge,AI-AUGMENTED,Medium,Low,Partial conflict,Low,"Mechanism conflict: AI must evaluate student-produced outlines, not generate outlines for students."
39,Concept mapping,0.64,Above hinge,AI-AUGMENTED,Medium,Medium,Partial conflict,Low,AI can visualize conceptual hierarchies from student text; student must do the conceptual construction or mechanism is bypassed.
41,Creativity programs,0.62,Above hinge,AI-AUGMENTED,Medium,Low,Partial conflict,Low,AI provides diverse divergent-thinking prompts; subjective elaboration and collaborative creative evaluation require human facilitation.
42,Behavioral intervention programs,0.62,Above hinge,AI-RESISTANT,High,High,Conflict present,Moderate,"Behavior modification requires physical presence, relational authority, and embodied social judgment; AI monitoring is peripheral."
43,Setting standards for self-judgement,0.62,Above hinge,AI-AUGMENTED,Medium,Low,Partial conflict,Low,AI can co-construct rubrics from historical baselines; student self-appraisal accuracy requires human calibration and validation.
46,Meta-cognitive strategies,0.60,Above hinge,AI-AUGMENTED,Medium,Low,Partial conflict,High,"Critical mechanism conflict: perpetual AI Socratic prompting creates cognitive dependency. Without systematic fading, AI acts as external regulator, hollowing out independent metacognitive capacity."
50,Appropriately challenging goals,0.59,Above hinge,AI-AUGMENTED,Medium,Low,Partial conflict,Low,AI can calibrate task difficulty to zone of proximal development; mechanism conflict if AI sets goals rather than supporting student to set them.
52,Tactile stimulation programs,0.58,Above hinge,AI-RESISTANT,High,High,Conflict present,Low,Embodied physical stimulation is the causal mechanism; AI has no role in the core intervention.
53,Strategy monitoring,0.58,Above hinge,AI-AUGMENTED,Medium,Low,Partial conflict,Moderate,"Mechanism conflict risk: AI must scaffold student self-monitoring, not monitor for the student."
54,Service learning,0.58,Above hinge,AI-RESISTANT,High,High,Conflict present,Low,Embodied civic action and community relationship-building cannot be replicated by AI; mechanism is entirely human and contextual.
57,Mastery learning,0.57,Above hinge,AI-AUGMENTED,Medium,High,Partial conflict,High,Software-defined mastery often assesses procedural retrieval only. Deep conceptual transfer and self-pacing accountability require human oversight. Vendor claims of 100% mastery are unsupported.
63,Self-verbalization and self-questioning,0.55,Above hinge,AI-AUGMENTED,Medium,High,Partial conflict,Moderate,"Mechanism conflict: AI must require student to verbalize, not provide the verbalization for them."
64,Cooperative vs. individualistic learning,0.55,Above hinge,AI-RESISTANT,High,High,Conflict present,Moderate,Social interdependence theory requires genuine human peer collaboration; AI cannot replicate group accountability and shared social stakes.
66,Practice testing,0.54,Above hinge,AI-NATIVE,Low,High,Partial conflict,Low,Mechanism conflict risk: immediate answer reveal after wrong response bypasses necessary retrieval effort. AI must require retrieval before providing correct answer.
70,Positive peer influences,0.53,Above hinge,AI-RESISTANT,High,High,Conflict present,Low,"Social norm transmission, peer modeling, and belonging are embedded in physical peer community; AI cannot substitute."
71,Peer tutoring,0.53,Above hinge,AI-RESISTANT,High,Medium,Conflict present,Low,"Social-emotional teaching exchange, the act of one student teaching another, is the mechanism; AI monitoring of pairs is peripheral."
72,Cooperative vs. competitive learning,0.53,Above hinge,AI-RESISTANT,High,Medium,Conflict present,Low,Social interdependence and group accountability require physical human presence; AI cannot replicate genuine cooperative stakes.
73,Positive family/home dynamics,0.52,Above hinge,AI-RESISTANT,High,High,Conflict present,Low,"Embodied family relationships, warmth, stability, and shared routines are the mechanism; AI has no meaningful role in the causal chain."
75,Teacher-student relationships,0.52,Above hinge,AI-RESISTANT,High,High,Conflict present,Moderate,"Empathetic, trusting interpersonal connection is the causal mechanism. AI automating grading can free teacher time for relationships; AI cannot be the relationship."
76,Self-regulation strategies,0.52,Above hinge,AI-AUGMENTED,Medium,High,Partial conflict,Moderate,Mechanism conflict: perpetual AI scaffolding of self-regulation prevents student from internalizing the regulatory capacity.
78,Play programs,0.50,Above hinge,AI-RESISTANT,High,High,Conflict present,Low,"Embodied physical play, social negotiation, and intrinsic exploration cannot be replicated by AI-mediated interaction."
79,Parental involvement,0.50,Above hinge,AI-RESISTANT,High,Medium,Partial conflict,Low,AI portals can streamline school-home communication; parental academic encouragement and home learning support are irreducibly human.
81,Note taking,0.50,Above hinge,AI-AUGMENTED,Medium,High,Conflict present,Low,Critical mechanism conflict: AI note-taking (transcription) removes the encoding process that generates the learning benefit. Student must produce the notes.
82,Underlining and highlighting,0.50,Above hinge,AI-AUGMENTED,Medium,Low,Conflict present,Low,Mechanism conflict: the act of discriminating important from unimportant information is the learning process; AI doing it removes the benefit.
86,Clear goal intentions,0.48,Above hinge,AI-AUGMENTED,Medium,Low,Partial conflict,Low,"Mechanism conflict risk: AI must require student to articulate goals, not supply goals to the student."
88,Questioning,0.48,Above hinge,AI-AUGMENTED,Medium,High,Partial conflict,Moderate,Socratic live questioning that adapts to student verbal responses in real-time requires human teacher; AI generates practice question sets.
89,Intelligent tutoring systems,0.48,Above hinge,AI-NATIVE,Low,High,Partial conflict,High,"Legitimate AI-native zone only with curriculum constraint, learner modeling, step-level feedback, and teacher oversight. Real-world compliance collapses without human enforcement. Vendor claims of Bloom's two-sigma solution are unsupported."
92,Small group learning,0.47,Above hinge,AI-RESISTANT,High,Medium,Conflict present,Low,Relational safety and peer accountability within small groups require physical co-presence; AI facilitation degrades the mechanism.
95,Study skills,0.46,Above hinge,AI-AUGMENTED,Medium,High,Partial conflict,Low,"Mechanism conflict: AI must scaffold practice of study skills, not execute study skills for the student."
97,Writing programs,0.45,Above hinge,AI-AUGMENTED,Medium,High,Partial conflict,High,"High mechanism conflict risk: AI ghostwriting is the antithesis of the intervention. AI must evaluate and respond to student-produced writing, not produce writing for students."
98,Imagery,0.45,Above hinge,AI-AUGMENTED,Medium,Low,Partial conflict,Low,Student-generated mental imagery is the mechanism; AI can prompt and guide the process but must not substitute images for the student.
101,Strong classroom cohesion,0.44,Above hinge,AI-RESISTANT,High,Low,Conflict present,Low,"Social belonging, shared identity, and collective classroom culture require physical co-presence and human teacher cultivation."
102,Inductive teaching,0.44,Above hinge,AI-AUGMENTED,Medium,Low,Partial conflict,Low,AI generates diverse examples for pattern discovery; teacher facilitation of the inductive reasoning discussion is the human layer.
105,Outdoor/adventure programs,0.43,Above hinge,AI-RESISTANT,High,Low,Conflict present,Low,"Outdoor challenge, physical risk management, and group resilience-building are entirely embodied; AI has no meaningful role."
107,Teacher expectations,0.43,Above hinge,AI-AUGMENTED,High,Low,Partial conflict,Low,AI blind-grading and pattern detection can surface implicit low expectations; teacher must actively recalibrate their beliefs and behaviors.
108,Philosophy in schools,0.43,Above hinge,AI-AUGMENTED,Medium,Low,Partial conflict,Low,Community of inquiry requires human facilitation of genuine philosophical dialogue; AI can supply texts and seed questions.
112,Elaborative interrogation,0.42,Above hinge,AI-AUGMENTED,Medium,Low,Partial conflict,Low,"Mechanism conflict: AI must require student to generate explanations, not provide explanations to the student."
114,Technology in writing,0.42,Above hinge,AI-NATIVE,Low,High,Conflict present,High,Critical mechanism conflict: AI writing tools that produce text for students are the antithesis of this intervention. Legitimate only as feedback and editing tools on student-produced writing.
115,Technology with college students,0.42,Above hinge,AI-NATIVE,Low,High,Partial conflict,Low,Legitimate AI-native zone for procedural and content delivery; mechanism conflict risk high in writing and problem-solving tasks.
119,Goal commitment,0.40,Above hinge,AI-AUGMENTED,Medium,Low,Partial conflict,Low,"Mechanism conflict risk: AI must support student commitment to self-set goals, not set goals for students."
120,Cooperative learning,0.40,Above hinge,AI-RESISTANT,High,Medium,Conflict present,Low,"Positive interdependence, individual accountability within groups, and face-to-face interaction are the mechanisms; AI cannot replicate."
