rank,influence,effect_size,band,ai_feasibility,human_irreducibility,substitution_risk,mechanism_conflict,vendor_activity,notes
1,Collective teacher efficacy,1.57,High,AI-RESISTANT,High,High,No conflict,Low,Emergent social construct; Bandura's four efficacy channels require physical collaboration and shared professional identity.
2,Self-reported grades,1.33,High,AI-AUGMENTED,Medium,Low,Partial conflict,Low,AI dashboards can scaffold prediction and tracking; student must do the self-assessment act or mechanism hollows out.
3,Teacher estimates of achievement,1.29,High,AI-AUGMENTED,High,Medium,No conflict,Low,"ML can flag risk trajectories; teacher must synthesize with relational, contextual knowledge of individual students."
4,Cognitive task analysis,1.29,High,AI-AUGMENTED,Medium,Low,No conflict,Low,LLMs can decompose complex domains into learning progressions; expert teacher validation of accuracy is non-negotiable.
5,Response to intervention,1.29,High,AI-AUGMENTED,Medium,Medium,No conflict,High,AI platforms can continuously monitor and flag tier transitions; targeted instruction must be physically delivered by trained humans.
6,Piagetian programs,1.28,High,AI-AUGMENTED,Medium,Low,No conflict,Low,Cognitive developmental progression is biologically fixed; AI can support stage-matched task design but cannot engineer the developmental shift.
7,Jigsaw method,1.20,High,AI-RESISTANT,High,High,Conflict present,Low,Physical peer-to-peer teaching exchange is the causal mechanism; AI optimizing group composition touches only logistics.
8,Conceptual change programs,0.99,High,AI-AUGMENTED,Medium,Low,No conflict,Low,Generative AI can identify misconceptions in student writing and serve contrasting texts; deep schema restructuring benefits from teacher mediation.
9,Prior ability,0.94,High,AI-ADJACENT,Low,Low,No conflict,Low,AI catalogs prior ability indicators; cannot alter baseline cognitive capacity.
10,Strategy to integrate with prior knowledge,0.93,High,AI-AUGMENTED,Medium,Low,Partial conflict,High,AI pre-diagnostic tasks can map active schema; customized analogies require accuracy about what student actually knows.
11,Self-efficacy,0.92,High,AI-AUGMENTED,Medium,Low,Partial conflict,Low,AI adaptive micro-scaffolds can foster immediate confidence; durable self-efficacy is built through human encouragement over time.
12,Teacher credibility,0.90,High,AI-RESISTANT,High,High,Conflict present,Low,"Student perception of competence, trustworthiness, and goodwill is strictly interpersonal; AI fluency is not teacher credibility."
13,Micro-teaching/video review of lessons,0.88,High,AI-AUGMENTED,Medium,Medium,No conflict,High,"AI computer vision can map talk-time, questioning patterns, and engagement; human teacher must interpret and adjust practice."
14,Transfer strategies,0.86,High,AI-AUGMENTED,Medium,Low,Partial conflict,Low,AI generates near- and far-transfer problem sets; explicit modeling of cross-domain principles requires human instruction.
15,Classroom discussion,0.82,High,AI-AUGMENTED,High,High,Conflict present,Moderate,Socio-cognitive friction and shared community context require physical peer presence; AI can map participation patterns and flag gaps.
16,Scaffolding,0.82,High,AI-AUGMENTED,Medium,Medium,Partial conflict,High,AI tutoring platforms can adapt hint specificity and difficulty in real-time; systematic fading required to prevent permanent dependency.
17,Deliberate practice,0.79,High,AI-AUGMENTED,Medium,Medium,Partial conflict,Low,Ericsson-model deliberate practice requires expert diagnosis of specific errors; AI handles adaptive difficulty but not expert qualitative feedback.
18,Summarization,0.79,High,AI-NATIVE,Low,High,Conflict present,Low,"Critical mechanism conflict: if AI summarizes for the student, student does not build the capacity. AI must evaluate student summaries, not produce them."
19,Effort,0.77,High,AI-AUGMENTED,High,Low,No conflict,Low,AI disengagement detection and micro-incentives support effort; sustained academic persistence mediated by teacher relationships.
20,Interventions for students with learning needs,0.77,High,AI-AUGMENTED,Medium,Medium,No conflict,Moderate,"AI-driven assistive software (TTS, interface adaptation) is legitimate; specialized physical and cognitive therapy requires trained human educators."
21,Mnemonics,0.76,High,AI-NATIVE,Low,Low,No conflict,Low,Procedural enough for full AI delivery; generative AI can produce personalized acronyms and retrieval associations at scale.
22,Planning and prediction,0.76,High,AI-AUGMENTED,Medium,Low,Partial conflict,High,AI can structure prediction prompts; mechanism conflict if AI does the planning for the student rather than requiring student to plan.
23,Repeated reading programs,0.75,High,AI-NATIVE,Low,High,No conflict,Low,AI real-time oral reading evaluation and word-level intervention is a legitimate AI-native implementation.
24,Teacher clarity,0.75,High,AI-AUGMENTED,High,Medium,No conflict,Moderate,Generative AI assists in standardizing learning goals and logical sequences; classroom verbal delivery and active-listening checks remain human.
25,Elaboration and organization,0.75,High,AI-AUGMENTED,Medium,Low,Partial conflict,Low,"Mechanism conflict risk: AI must force student verbal elaboration, not produce elaboration on student's behalf."
26,Evaluation and reflection,0.75,High,AI-AUGMENTED,Medium,Low,Partial conflict,Low,AI prompt systems generate self-evaluation questions; deep metacognitive internalization of error requires teacher-guided think-alouds.
27,Reciprocal teaching,0.74,High,AI-AUGMENTED,Medium,Low,Partial conflict,Low,AI avatars can model predict/clarify/question/summarize; the peer-teaching social exchange requires physical human presence.
28,Rehearsal and memorization,0.73,High,AI-NATIVE,Low,Low,No conflict,Low,Procedural; AI flashcard and spacing platforms automate retrieval loops based on forgetting curve mathematics effectively.
29,Comprehensive instructional programs for teachers,0.72,High,AI-AUGMENTED,High,Low,No conflict,Low,AI can scaffold PD content delivery and resource curation; teacher learning through peer observation and coaching is human-dependent.
30,Help seeking,0.72,High,AI-AUGMENTED,Medium,Low,No conflict,Low,"AI can reduce friction of seeking help (anonymous questions, peer matching); the interpersonal safety required depends on human classroom climate."
31,Phonics instruction,0.70,High,AI-AUGMENTED,Medium,High,No conflict,Low,AI voice recognition assesses phonemic awareness effectively; structured human instruction in grapheme-phoneme mapping remains the pedagogical anchor.
32,Feedback,0.70,High,AI-AUGMENTED,Medium,High,Partial conflict,High,Most-cited EdTech claim. Mechanism conflict: AI feedback can enable system-gaming (clicking hints for answers). One-third of feedback studies show negative effects. Vendor claims routinely strip this caveat.
33,Deep motivation and approach,0.69,Above hinge,AI-AUGMENTED,High,Low,No conflict,Low,Deep motivational orientation stems from interpersonal academic identity formation; AI gamification handles surface engagement only.
34,Field independence,0.68,Above hinge,AI-AUGMENTED,Medium,Low,No conflict,Low,AI can design tasks that practice field-independent processing; cannot directly alter the underlying cognitive style.
35,Acceleration programs,0.68,Above hinge,AI-AUGMENTED,Medium,Low,No conflict,Low,AI can path gifted students through advanced curricula; human mentorship for advanced learners addresses social-emotional needs AI cannot.
36,Learning goals vs. no goals,0.68,Above hinge,AI-AUGMENTED,Low,Low,Partial conflict,Moderate,AI onboarding engines can prompt explicit goal formulation; mechanism conflict if AI sets goals for student rather than requiring student to formulate them.
37,Problem-solving teaching,0.68,Above hinge,AI-AUGMENTED,High,Low,Partial conflict,Low,Rich problem-solving scenarios can be AI-generated; group facilitation and modeling of problem-solving heuristics requires human teacher.
38,Outlining and transforming,0.66,Above hinge,AI-AUGMENTED,Medium,Low,Partial conflict,Low,"Mechanism conflict: AI must evaluate student-produced outlines, not generate outlines for students."
39,Concept mapping,0.64,Above hinge,AI-AUGMENTED,Medium,Medium,Partial conflict,Low,AI can visualize conceptual hierarchies from student text; student must do the conceptual construction or mechanism is bypassed.
40,Vocabulary programs,0.62,Above hinge,AI-NATIVE,Low,High,No conflict,Low,AI vocabulary engines deploying spaced retrieval and contextual sentence-building are a legitimate AI-native implementation.
41,Creativity programs,0.62,Above hinge,AI-AUGMENTED,Medium,Low,Partial conflict,Low,AI provides diverse divergent-thinking prompts; subjective elaboration and collaborative creative evaluation require human facilitation.
42,Behavioral intervention programs,0.62,Above hinge,AI-RESISTANT,High,High,Conflict present,Moderate,"Behavior modification requires physical presence, relational authority, and embodied social judgment; AI monitoring is peripheral."
43,Setting standards for self-judgement,0.62,Above hinge,AI-AUGMENTED,Medium,Low,Partial conflict,Low,AI can co-construct rubrics from historical baselines; student self-appraisal accuracy requires human calibration and validation.
44,Teachers not labeling students,0.61,Above hinge,AI-AUGMENTED,High,Low,No conflict,Low,AI blind grading can reduce expectation bias in assessment; teacher's ongoing cultivation of open-minded relationships is irreducibly human.
45,Relations of high school to university achievement,0.60,Above hinge,AI-AUGMENTED,Medium,Low,No conflict,Low,AI can map academic readiness indicators; human advising for individual transition decisions requires contextual judgment.
46,Meta-cognitive strategies,0.60,Above hinge,AI-AUGMENTED,Medium,Low,Partial conflict,High,"Critical mechanism conflict: perpetual AI Socratic prompting creates cognitive dependency. Without systematic fading, AI acts as external regulator, hollowing out independent metacognitive capacity."
47,Spaced vs. mass practice,0.60,Above hinge,AI-AUGMENTED,Medium,Low,No conflict,Low,AI can automate optimal spacing intervals; human teacher must ensure alignment to curriculum sequence and assess transfer.
48,Direct instruction,0.60,Above hinge,AI-AUGMENTED,Medium,Medium,No conflict,Low,Highly structured AI worked examples and practice items are legitimate; teacher orchestration of active-listening checks and live instruction is essential.
49,Mathematics programs,0.59,Above hinge,AI-AUGMENTED,Medium,High,No conflict,Low,AI adaptive math practice platforms are a legitimate augmentation; conceptual modeling and misconception remediation require human teacher.
50,Appropriately challenging goals,0.59,Above hinge,AI-AUGMENTED,Medium,Low,Partial conflict,Low,AI can calibrate task difficulty to zone of proximal development; mechanism conflict if AI sets goals rather than supporting student to set them.
51,Spelling programs,0.58,Above hinge,AI-NATIVE,Low,Low,No conflict,Low,Procedural; AI can deliver adaptive spelling retrieval with immediate corrective feedback at scale.
52,Tactile stimulation programs,0.58,Above hinge,AI-RESISTANT,High,High,Conflict present,Low,Embodied physical stimulation is the causal mechanism; AI has no role in the core intervention.
53,Strategy monitoring,0.58,Above hinge,AI-AUGMENTED,Medium,Low,Partial conflict,Moderate,"Mechanism conflict risk: AI must scaffold student self-monitoring, not monitor for the student."
54,Service learning,0.58,Above hinge,AI-RESISTANT,High,High,Conflict present,Low,Embodied civic action and community relationship-building cannot be replicated by AI; mechanism is entirely human and contextual.
55,Working memory strength,0.57,Above hinge,AI-ADJACENT,Low,Low,No conflict,Low,AI may track working memory demands of tasks; cannot alter underlying working memory capacity.
56,Full compared to pre-term/low birth weight,0.57,Above hinge,AI-ADJACENT,Low,Low,No conflict,Low,Not a manipulable intervention; AI has no role in the causal mechanism.
57,Mastery learning,0.57,Above hinge,AI-AUGMENTED,Medium,High,Partial conflict,High,Software-defined mastery often assesses procedural retrieval only. Deep conceptual transfer and self-pacing accountability require human oversight. Vendor claims of 100% mastery are unsupported.
58,Explicit teaching strategies,0.57,Above hinge,AI-AUGMENTED,Medium,Medium,No conflict,Low,AI can structure explicit strategy sequences; teacher delivery of modeling and guided practice is the human layer.
59,Technology with learning needs students,0.57,Above hinge,AI-NATIVE,Low,High,No conflict,Low,Strongest legitimate AI-native case in the dataset for specific learning needs; specialized human educator oversight still required.
60,Concentration/persistence/engagement,0.56,Above hinge,AI-AUGMENTED,Medium,Low,No conflict,Low,AI disengagement detection triggers micro-interventions; sustained concentration and persistence require teacher relationship and task design.
61,Prior achievement,0.55,Above hinge,AI-ADJACENT,Low,Low,No conflict,Low,AI tracks prior achievement indicators; cannot alter the underlying achievement baseline.
62,Visual-perception programs,0.55,Above hinge,AI-AUGMENTED,Medium,Low,No conflict,Low,AI can adapt visual complexity of materials; clinical diagnosis and specialist intervention require human professionals.
63,Self-verbalization and self-questioning,0.55,Above hinge,AI-AUGMENTED,Medium,High,Partial conflict,Moderate,"Mechanism conflict: AI must require student to verbalize, not provide the verbalization for them."
