rank,influence,effect_size,band,ai_feasibility,human_irreducibility,vendor_activity,notes
1,Collective teacher efficacy,1.57,High,AI-RESISTANT,High,Low,"AI can organize evidence for teacher teams, but the core mechanism is collective professional agency and shared responsibility."
2,Self-reported grades,1.33,High,AI-AUGMENTED,Medium,Low,"AI can support implementation, diagnosis, scaffolding, feedback, or logistics, but human judgment remains important."
3,Teacher estimates of achievement,1.29,High,AI-AUGMENTED,High,Low,"AI can support implementation, diagnosis, scaffolding, feedback, or logistics, but human judgment remains important."
4,Cognitive task analysis,1.29,High,AI-AUGMENTED,Medium,Low,"AI can support implementation, diagnosis, scaffolding, feedback, or logistics, but human judgment remains important."
5,Response to intervention,1.29,High,AI-AUGMENTED,Medium,Low,"AI can support implementation, diagnosis, scaffolding, feedback, or logistics, but human judgment remains important."
6,Piagetian programs,1.28,High,AI-AUGMENTED,Medium,Low,"AI can support implementation, diagnosis, scaffolding, feedback, or logistics, but human judgment remains important."
7,Jigsaw method,1.2,High,AI-RESISTANT,High,Low,"Core mechanism depends on human relationship, social context, embodied judgment, or institutional trust."
8,Conceptual change programs,0.99,High,AI-AUGMENTED,Medium,Low,"AI can support implementation, diagnosis, scaffolding, feedback, or logistics, but human judgment remains important."
9,Prior ability,0.94,High,AI-ADJACENT,Low,Low,"AI may track or report on this influence, but it is not the causal mechanism."
10,Strategy to integrate with prior knowledge,0.93,High,AI-AUGMENTED,Medium,Low,"AI can support implementation, diagnosis, scaffolding, feedback, or logistics, but human judgment remains important."
11,Self-efficacy,0.92,High,AI-AUGMENTED,Medium,Low,"AI can support implementation, diagnosis, scaffolding, feedback, or logistics, but human judgment remains important."
12,Teacher credibility,0.9,High,AI-RESISTANT,High,Moderate,"Depends on perceived competence, trust, care, and classroom relationship; AI fluency is not teacher credibility."
13,Micro-teaching/video review of lessons,0.88,High,AI-AUGMENTED,Medium,Moderate,"AI can support implementation, diagnosis, scaffolding, feedback, or logistics, but human judgment remains important."
14,Transfer strategies,0.86,High,AI-AUGMENTED,Medium,Low,"AI can support implementation, diagnosis, scaffolding, feedback, or logistics, but human judgment remains important."
15,Classroom discussion,0.82,High,AI-AUGMENTED,High,Moderate,AI can scaffold prompts and summaries; the core peer reasoning and teacher-facilitated discourse must remain human.
16,Scaffolding,0.82,High,AI-AUGMENTED,Medium,Moderate,"AI can support implementation, diagnosis, scaffolding, feedback, or logistics, but human judgment remains important."
17,Deliberate practice,0.79,High,AI-AUGMENTED,Medium,Low,"AI can support implementation, diagnosis, scaffolding, feedback, or logistics, but human judgment remains important."
18,Summarization,0.79,High,AI-NATIVE,Low,Low,"Core routine is procedural or digital enough for AI/system delivery, assuming accuracy, alignment, and monitoring."
19,Effort,0.77,High,AI-AUGMENTED,Medium,Low,"AI can support implementation, diagnosis, scaffolding, feedback, or logistics, but human judgment remains important."
20,Interventions for students with learning needs,0.77,High,AI-AUGMENTED,Medium,Low,"AI can support implementation, diagnosis, scaffolding, feedback, or logistics, but human judgment remains important."
21,Mnemonics,0.76,High,AI-NATIVE,Low,Low,"Core routine is procedural or digital enough for AI/system delivery, assuming accuracy, alignment, and monitoring."
22,Planning and prediction,0.76,High,AI-AUGMENTED,Medium,High,"AI can support implementation, diagnosis, scaffolding, feedback, or logistics, but human judgment remains important."
23,Repeated reading programs,0.75,High,AI-NATIVE,Low,High,"Core routine is procedural or digital enough for AI/system delivery, assuming accuracy, alignment, and monitoring."
24,Teacher clarity,0.75,High,AI-AUGMENTED,High,Moderate,"AI can support implementation, diagnosis, scaffolding, feedback, or logistics, but human judgment remains important."
25,Elaboration and organization,0.75,High,AI-AUGMENTED,Medium,Low,"AI can support implementation, diagnosis, scaffolding, feedback, or logistics, but human judgment remains important."
26,Evaluation and reflection,0.75,High,AI-AUGMENTED,Medium,Low,"AI can support implementation, diagnosis, scaffolding, feedback, or logistics, but human judgment remains important."
27,Reciprocal teaching,0.74,High,AI-AUGMENTED,Medium,Low,"AI can support implementation, diagnosis, scaffolding, feedback, or logistics, but human judgment remains important."
28,Rehearsal and memorization,0.73,High,AI-NATIVE,Low,Low,"Core routine is procedural or digital enough for AI/system delivery, assuming accuracy, alignment, and monitoring."
29,Comprehensive instructional programs for teachers,0.72,High,AI-AUGMENTED,High,Low,"AI can support implementation, diagnosis, scaffolding, feedback, or logistics, but human judgment remains important."
30,Help seeking,0.72,High,AI-AUGMENTED,Medium,Low,"AI can support implementation, diagnosis, scaffolding, feedback, or logistics, but human judgment remains important."
31,Phonics instruction,0.7,High,AI-AUGMENTED,Medium,High,"AI can support implementation, diagnosis, scaffolding, feedback, or logistics, but human judgment remains important."
32,Feedback,0.7,High,AI-AUGMENTED,Medium,High,"Promising for fast, task-specific corrective feedback; risk is generic, inaccurate, or over-helpful feedback that students do not act on."
33,Deep motivation and approach,0.69,Above hinge,AI-AUGMENTED,Medium,Low,"AI can support implementation, diagnosis, scaffolding, feedback, or logistics, but human judgment remains important."
34,Field independence,0.68,Above hinge,AI-AUGMENTED,Medium,Low,"AI can support implementation, diagnosis, scaffolding, feedback, or logistics, but human judgment remains important."
35,Acceleration programs,0.68,Above hinge,AI-AUGMENTED,Medium,Low,"AI can support implementation, diagnosis, scaffolding, feedback, or logistics, but human judgment remains important."
36,Learning goals vs. no goals,0.68,Above hinge,AI-AUGMENTED,Medium,Low,"AI can support implementation, diagnosis, scaffolding, feedback, or logistics, but human judgment remains important."
37,Problem-solving teaching,0.68,Above hinge,AI-AUGMENTED,Medium,Low,"AI can support implementation, diagnosis, scaffolding, feedback, or logistics, but human judgment remains important."
38,Outlining and transforming,0.66,Above hinge,AI-AUGMENTED,Medium,Low,"AI can support implementation, diagnosis, scaffolding, feedback, or logistics, but human judgment remains important."
39,Concept mapping,0.64,Above hinge,AI-AUGMENTED,Medium,Moderate,"AI can support implementation, diagnosis, scaffolding, feedback, or logistics, but human judgment remains important."
40,Vocabulary programs,0.62,Above hinge,AI-NATIVE,Low,High,"Core routine is procedural or digital enough for AI/system delivery, assuming accuracy, alignment, and monitoring."
41,Creativity programs,0.62,Above hinge,AI-AUGMENTED,Medium,Low,"AI can support implementation, diagnosis, scaffolding, feedback, or logistics, but human judgment remains important."
42,Behavioral intervention programs,0.62,Above hinge,AI-RESISTANT,High,Moderate,"Core mechanism depends on human relationship, social context, embodied judgment, or institutional trust."
43,Setting standards for self-judgement,0.62,Above hinge,AI-AUGMENTED,Medium,Low,"AI can support implementation, diagnosis, scaffolding, feedback, or logistics, but human judgment remains important."
44,Teachers not labeling students,0.61,Above hinge,AI-AUGMENTED,High,Low,"AI can support implementation, diagnosis, scaffolding, feedback, or logistics, but human judgment remains important."
45,Relations of high school to university achievement,0.6,Above hinge,AI-AUGMENTED,Medium,Low,"AI can support implementation, diagnosis, scaffolding, feedback, or logistics, but human judgment remains important."
46,Meta-cognitive strategies,0.6,Above hinge,AI-AUGMENTED,Medium,Low,"AI can prompt planning, monitoring, and evaluation, but must not do the regulation for the learner."
47,Spaced vs. mass practice,0.6,Above hinge,AI-AUGMENTED,Medium,Low,"AI can support implementation, diagnosis, scaffolding, feedback, or logistics, but human judgment remains important."
48,Direct instruction,0.6,Above hinge,AI-AUGMENTED,Medium,Moderate,"AI can support implementation, diagnosis, scaffolding, feedback, or logistics, but human judgment remains important."
49,Mathematics programs,0.59,Above hinge,AI-AUGMENTED,Medium,High,"AI can support implementation, diagnosis, scaffolding, feedback, or logistics, but human judgment remains important."
50,Appropriately challenging goals,0.59,Above hinge,AI-AUGMENTED,Medium,Low,"AI can support implementation, diagnosis, scaffolding, feedback, or logistics, but human judgment remains important."
51,Spelling programs,0.58,Above hinge,AI-NATIVE,Low,Low,"Core routine is procedural or digital enough for AI/system delivery, assuming accuracy, alignment, and monitoring."
52,Tactile stimulation programs,0.58,Above hinge,AI-AUGMENTED,Medium,Low,"AI can support implementation, diagnosis, scaffolding, feedback, or logistics, but human judgment remains important."
53,Strategy monitoring,0.58,Above hinge,AI-AUGMENTED,Medium,Low,"AI can support implementation, diagnosis, scaffolding, feedback, or logistics, but human judgment remains important."
54,Service learning,0.58,Above hinge,AI-RESISTANT,High,Low,"Core mechanism depends on human relationship, social context, embodied judgment, or institutional trust."
55,Working memory strength,0.57,Above hinge,AI-ADJACENT,Low,Low,"AI may track or report on this influence, but it is not the causal mechanism."
56,Full compared to pre-term/low birth weight,0.57,Above hinge,AI-ADJACENT,Low,Low,"AI may track or report on this influence, but it is not the causal mechanism."
57,Mastery learning,0.57,Above hinge,AI-AUGMENTED,Medium,High,"AI can monitor mastery and generate extra practice, but teachers must validate mastery criteria and transfer."
58,Explicit teaching strategies,0.57,Above hinge,AI-AUGMENTED,Medium,Moderate,"AI can support implementation, diagnosis, scaffolding, feedback, or logistics, but human judgment remains important."
59,Technology with learning needs students,0.57,Above hinge,AI-NATIVE,Low,High,"Core routine is procedural or digital enough for AI/system delivery, assuming accuracy, alignment, and monitoring."
60,Concentration/persistence/ engagement,0.56,Above hinge,AI-AUGMENTED,Medium,Low,"AI can support implementation, diagnosis, scaffolding, feedback, or logistics, but human judgment remains important."
61,Prior achievement,0.55,Above hinge,AI-ADJACENT,Low,Low,"AI may track or report on this influence, but it is not the causal mechanism."
62,Visual-perception programs,0.55,Above hinge,AI-AUGMENTED,Medium,Low,"AI can support implementation, diagnosis, scaffolding, feedback, or logistics, but human judgment remains important."
63,Self-verbalization and self-questioning,0.55,Above hinge,AI-AUGMENTED,Medium,High,"AI can support implementation, diagnosis, scaffolding, feedback, or logistics, but human judgment remains important."
64,Cooperative vs. individualistic learning,0.55,Above hinge,AI-RESISTANT,High,Moderate,"Core mechanism depends on human relationship, social context, embodied judgment, or institutional trust."
65,Technology in other subjects,0.55,Above hinge,AI-NATIVE,Low,High,"Core routine is procedural or digital enough for AI/system delivery, assuming accuracy, alignment, and monitoring."
66,Practice testing,0.54,Above hinge,AI-NATIVE,Low,High,"Core routine is procedural or digital enough for AI/system delivery, assuming accuracy, alignment, and monitoring."
67,Interactive video methods,0.54,Above hinge,AI-NATIVE,Low,Low,"Core routine is procedural or digital enough for AI/system delivery, assuming accuracy, alignment, and monitoring."
68,Second/third chance programs,0.53,Above hinge,AI-AUGMENTED,Medium,Low,"AI can support implementation, diagnosis, scaffolding, feedback, or logistics, but human judgment remains important."
69,Enrichment programs,0.53,Above hinge,AI-AUGMENTED,Medium,Low,"AI can support implementation, diagnosis, scaffolding, feedback, or logistics, but human judgment remains important."
70,Positive peer influences,0.53,Above hinge,AI-RESISTANT,High,Low,"Core mechanism depends on human relationship, social context, embodied judgment, or institutional trust."
71,Peer tutoring,0.53,Above hinge,AI-RESISTANT,High,Moderate,"Core mechanism depends on human relationship, social context, embodied judgment, or institutional trust."
72,Cooperative vs. competitive learning,0.53,Above hinge,AI-RESISTANT,High,Moderate,"Core mechanism depends on human relationship, social context, embodied judgment, or institutional trust."
73,Positive family/home dynamics,0.52,Above hinge,AI-RESISTANT,High,Low,"Core mechanism depends on human relationship, social context, embodied judgment, or institutional trust."
74,Socio-economic status,0.52,Above hinge,AI-ADJACENT,Low,No,"AI may track or report on this influence, but it is not the causal mechanism."
75,Teacher-student relationships,0.52,Above hinge,AI-RESISTANT,High,Moderate,AI can support noticing and progress tracking; it cannot replace a real adult’s responsibility and relationship.
76,Self-regulation strategies,0.52,Above hinge,AI-AUGMENTED,Medium,High,"AI can support implementation, diagnosis, scaffolding, feedback, or logistics, but human judgment remains important."
